"29709",1,75.0,"Reports on Progress in Physics"
"23340",0,49.8125,"Chemical Reviews"
"29229",0,32.4,"Physics Reports"
"17854",0,20.52,"Nature Materials"
"23571",0,19.13953488372093,"Science (New York, N.Y.)"
"18100156701",0,16.625,"Nature Chemistry"
"19881",0,16.02659574468085,"Advanced materials (Deerfield Beach, Fla.)"
"9500153997",0,13.5,"Polymer Reviews"
"22687",0,13.235294117647058,"Angewandte Chemie - International Edition"
"22680",0,12.184615384615384,"Journal of the American Chemical Society"
"22657",0,11.1875,"Accounts of chemical research"
"12878",0,10.252252252252251,"Chemistry of Materials"
"17899",0,10.25,"Progress in Materials Science"
"17853",0,10.186440677966102,"Nano Letters"
"25896",0,10.0,"Journal of Organic Chemistry"
"18991",0,10.0,"Nature Reviews Genetics"
"4000151822",0,9.2,"Nature Physics"
"25143",0,9.158273381294965,"Advanced Functional Materials"
"17500155114",0,9.027472527472527,"Energy and Environmental Science"
"23350",0,9.0,"Chemical Society Reviews"
"5700165152",0,8.636363636363637,"Nature Photonics"
"26396",0,8.615384615384615,"Organic Letters"
"21100199127",0,8.468354430379748,"Advanced Energy Materials"
"19600166212",0,8.379746835443038,"Journal of Physical Chemistry Letters"
"5200152704",0,8.285714285714286,"Nature Nanotechnology"
"4700152457",0,8.1,"Nano Today"
"24646",0,7.666666666666667,"Journal of Porphyrins and Phthalocyanines"
"27540",0,7.636363636363637,"Progress in Photovoltaics: Research and Applications"
"26465",0,7.4,"Progress in Polymer Science (Oxford)"
"11500153511",0,7.271356783919598,"ACS Nano"
"21100779404",0,7.025,"Macromolecules"
"26978",0,7.0,"Advances in Physics"
"26555",0,7.0,"Annual Review of Physical Chemistry"
"15576",0,7.0,"European Neuropsychopharmacology"
"144926",0,7.0,"Journal of Computational Electronics"
"23405",0,7.0,"Chemistry and Biology"
"22781",0,6.958333333333333,"Chemical Communications"
"29295",0,6.0,"Journal of Transport Geography"
"26405",0,6.0,"SIAM Journal on Control and Optimization"
"19700200838",0,5.714285714285714,"Chemical Science"
"23502",0,5.590909090909091,"Dyes and Pigments"
"24641",0,5.479224376731302,"Journal of Materials Chemistry"
"23470",0,5.444444444444445,"Coordination Chemistry Reviews"
"26588",0,5.038461538461538,"ChemPhysChem"
"27011",0,4.91588785046729,"Physical Chemistry Chemical Physics"
"21206",0,4.888888888888889,"Nature"
"19700182678",0,4.7368421052631575,"Polymer Chemistry"
"26512",0,4.6,"Tetrahedron"
"5200153123",0,4.598360655737705,"Journal of Physical Chemistry C"
"18663",0,4.538461538461538,"Organic Electronics: physics, materials, applications"
"17915",0,4.333333333333333,"Proceedings of the IEEE"
"26005",0,4.308724832214765,"IEEE Electron Device Letters"
"18434",0,4.291666666666667,"Cell"
"11000153733",0,4.25,"IEEE Transactions on Circuits and Systems I: Regular Papers"
"12000154478",0,4.21875,"ChemSusChem"
"25807",0,4.1875,"Communications in Nonlinear Science and Numerical Simulation"
"13332",0,4.056047197640118,"Solar Energy Materials and Solar Cells"
"27030",0,4.026195899772209,"Applied Physics Letters"
"21288",0,4.0,"Acta Tropica"
"23811",0,4.0,"Cement and Concrete Composites"
"24825",0,4.0,"Pattern Recognition Letters"
"19126",0,4.0,"2007 Proceedings - Annual Reliability and Maintainability Symposium, RAMS"
"21113",0,4.0,"International Journal of Nanotechnology"
"19700190315",0,4.0,"Beilstein Journal of Nanotechnology"
"12862",0,3.977777777777778,"Optics Express"
"19700173215",0,3.970149253731343,"Nanoscale"
"29464",0,3.9285714285714284,"Physics Letters, Section A: General, Atomic and Solid State Physics"
"11000153773",0,3.92814371257485,"Physical Review B - Condensed Matter and Materials Physics"
"19700171101",0,3.7642857142857142,"ACS Applied Materials and Interfaces"
"21780",0,3.7,"Nonlinear Analysis: Real World Applications"
"24909",0,3.6666666666666665,"Automatica"
"23392",0,3.586206896551724,"Chemistry (Weinheim an der Bergstrasse, Germany)"
