"23340",1,23.5,"Chemical Reviews"
"17854",0,19.428571428571427,"Nature Materials"
"9500153997",0,13.666666666666666,"Polymer Reviews"
"22687",0,13.0,"Angewandte Chemie - International Edition"
"26396",0,11.75,"Organic Letters"
"21926",0,10.0,"Decision Sciences"
"24769",0,9.8,"Materials Today"
"25896",0,9.125,"Journal of Organic Chemistry"
"22064",0,9.0,"Clinical Genetics"
"23571",0,8.724137931034482,"Science (New York, N.Y.)"
"26555",0,8.5,"Annual Review of Physical Chemistry"
"21576",0,8.0,"Nonlinear Dynamics"
"17814",0,8.0,"Materials Science and Engineering R: Reports"
"19881",0,7.88,"Advanced materials (Deerfield Beach, Fla.)"
"17915",0,7.714285714285714,"Proceedings of the IEEE"
"26512",0,6.8,"Tetrahedron"
"25786",0,6.5,"Bioorganic and Medicinal Chemistry"
"22781",0,6.315789473684211,"Chemical Communications"
"17853",0,5.91743119266055,"Nano Letters"
"21221",0,5.875,"MRS Bulletin"
"22680",0,5.808695652173913,"Journal of the American Chemical Society"
"25143",0,5.662162162162162,"Advanced Functional Materials"
"18990",0,5.571428571428571,"Nature Genetics"
"27540",0,5.22093023255814,"Progress in Photovoltaics: Research and Applications"
"20027",0,5.0,"BMC Pharmacology"
"17264",0,5.0,"Magnetic Resonance Imaging"
"24909",0,4.888888888888889,"Automatica"
"26403",0,4.75,"SIAM Journal on Applied Dynamical Systems"
"4000151822",0,4.6,"Nature Physics"
"25939",0,4.583333333333333,"Macromolecular rapid communications"
"21206",0,4.542857142857143,"Nature"
"9500153930",0,4.5,"IEEE Transactions on Circuits and Systems II: Express Briefs"
"18991",0,4.5,"Nature Reviews Genetics"
"27011",0,4.357142857142857,"Physical Chemistry Chemical Physics"
"5200153123",0,4.011278195488722,"Journal of Physical Chemistry C"
"11000153733",0,4.0,"IEEE Transactions on Circuits and Systems I: Regular Papers"
"17359",0,4.0,"IEEE Transactions on Engineering Management"
"16104",0,4.0,"Molecular Biotechnology"
"23916",0,4.0,"Environmental pollution (Barking, Essex : 1987)"
"4000149101",0,4.0,"Nanomedicine: Nanotechnology, Biology, and Medicine"
"10300153313",0,4.0,"ACM Transactions on Embedded Computing Systems"
"17278",0,4.0,"IEEE Journal of Solid-State Circuits"
"14129",0,4.0,"Methods"
"12878",0,3.9791666666666665,"Chemistry of Materials"
"20315",0,3.75,"Nature Reviews Molecular Cell Biology"
"21100779404",0,3.6904761904761907,"Macromolecules"
"20425",0,3.6666666666666665,"Nature Reviews Drug Discovery"
"28554",0,3.6666666666666665,"Soft Computing"
"27030",0,3.541935483870968,"Applied Physics Letters"
"26005",0,3.53125,"IEEE Electron Device Letters"
"5700165152",0,3.4,"Nature Photonics"
"26052",0,3.3,"IEEE Transactions on Electron Devices"
"21767",0,3.2857142857142856,"Progress in Neuro-Psychopharmacology and Biological Psychiatry"
"18606",0,3.2,"Molecular Cell"
"26966",0,3.1923076923076925,"Journal of Photochemistry and Photobiology A: Chemistry"
"13332",0,3.1535714285714285,"Solar Energy Materials and Solar Cells"
"14855",0,3.142857142857143,"Cerebral cortex (New York, N.Y. : 1991)"
"12000154478",0,3.125,"ChemSusChem"
"26388",0,3.0,"Organic and Biomolecular Chemistry"
"17500155114",0,3.0,"Energy and Environmental Science"
"17295",0,3.0,"IEEE Microwave and Wireless Components Letters"
"17985",0,3.0,"International Journal of Electrical Power and Energy Systems"
"4500151514",0,3.0,"Energy Sources, Part A: Recovery, Utilization and Environmental Effects"
"28824",0,3.0,"IEEE Transactions on Energy Conversion"
"23418",0,3.0,"Chemistry Letters"
"700147018",0,3.0,"Proceedings of the International Symposium on Low Power Electronics and Design"
"28516",0,3.0,"Kung Cheng Je Wu Li Hsueh Pao/Journal of Engineering Thermophysics"
"24693",0,3.0,"Journal of Applied Crystallography"
"5300152234",0,3.0,"Journal of the Iranian Chemical Society"
"17025",0,3.0,"Pflugers Archiv European Journal of Physiology"
"4700152612",0,3.0,"Current Nanoscience"
"21121",0,2.963963963963964,"Proceedings of the National Academy of Sciences of the United States of America"
"100147018",0,2.9,"Proceedings of the International Symposium on Power Semiconductor Devices and ICs"
"9500154039",0,2.857142857142857,"Journal of Electroanalytical Chemistry"
"24641",0,2.8333333333333335,"Journal of Materials Chemistry"
"28801",0,2.8,"Applied Energy"
"11500153511",0,2.7777777777777777,"ACS Nano"
"12862",0,2.739130434782609,"Optics Express"
"19014",0,2.6666666666666665,"Nature Cell Biology"
"23345",0,2.6,"Bulletin of the Chemical Society of Japan"
"4800156201",0,2.6,"Chemistry - An Asian Journal"
"26142",0,2.5714285714285716,"Technical Digest - International Electron Devices Meeting, IEDM"
"17366",0,2.5416666666666665,"IEEE Transactions on Microwave Theory and Techniques"
"10400153302",0,2.515151515151515,"Physica Status Solidi - Rapid Research Letters"
"25061",0,2.5,"Displays"
"25222",0,2.5,"Toxicology and Applied Pharmacology"
"16534",0,2.5,"Phytochemistry"
"18663",0,2.5,"Organic Electronics: physics, materials, applications"
"22657",0,2.4615384615384617,"Accounts of chemical research"
"18434",0,2.3529411764705883,"Cell"
"17400",0,2.25,"Current Opinion in Structural Biology"
"26529",0,2.25,"Fuzzy Sets and Systems"
"25180",0,2.227272727272727,"Electrochemistry Communications"
"18525",0,2.2222222222222223,"Developmental cell"
"25901",0,2.2222222222222223,"Journal of Polymer Science, Part A: Polymer Chemistry"
"27430",0,2.206896551724138,"Chaos (Woodbury, N.Y.)"
"27029",0,2.2,"Applied Physics B: Lasers and Optics"
"17812",0,2.1923076923076925,"Materials Science and Engineering B: Solid-State Materials for Advanced Technology"
"29348",0,2.125,"Energy"
"29464",0,2.125,"Physics Letters, Section A: General, Atomic and Solid State Physics"
"29150",0,2.1194029850746268,"Physical review letters"
"12863",0,2.0833333333333335,"Optics Letters"
"17481",0,2.0833333333333335,"FEBS letters"
"18555",0,2.076923076923077,"Journal of Cell Biology"
"28132",0,2.066666666666667,"Journal of Applied Physics"
"12116",0,2.0526315789473686,"IEEE Photonics Technology Letters"
"11000153773",0,2.0431654676258995,"Physical Review B - Condensed Matter and Materials Physics"
"19600164700",0,2.0,"Journal of Chemical Sciences"
"7500153133",0,2.0,"Laser and Photonics Reviews"
"29610",0,2.0,"Journal of mathematical biology"
"16393",0,2.0,"Chemical Engineering Communications"
"12955",0,2.0,"IEEE Transactions on Systems, Man, and Cybernetics, Part B: Cybernetics"
"12957",0,2.0,"IEEE Transactions on Systems, Man and Cybernetics Part C: Applications and Reviews"
"16831",0,2.0,"Biochimica et Biophysica Acta - Molecular and Cell Biology of Lipids"
"23675",0,2.0,"Artificial Intelligence"
"17517",0,2.0,"IUBMB Life"
"5800207369",0,2.0,"ACM Transactions on the Web"
"4700152228",0,2.0,"Molecular systems biology"
"17976",0,2.0,"Neuromuscular Disorders"
"16757",0,2.0,"Journal of Neurology, Neurosurgery and Psychiatry"
"19633",0,2.0,"BMC microbiology"
"12318",0,2.0,"Optical Materials"
"15122",0,2.0,"Journal of Speech, Language, and Hearing Research"
