"2-s2.0-67649207662",1,1126,"Bulk heterojunction solar cells with internal quantum efficiency approaching 100%"
"2-s2.0-70350774564",1,930,"Polymer solar cells with enhanced open-circuit voltage and efficiency"
"2-s2.0-66149086912",1,747,"Polymer-fullerene bulk-heterojunction solar cells"
"2-s2.0-60449087889",1,495,"Fabrication and processing of polymer solar cells: A review of printing and coating techniques"
"2-s2.0-72849124207",1,465,"Recent advances in sensitized mesoscopic solar cells"
"2-s2.0-73249138888",1,431,"Synthesis of conjugated polymers for organic solar cell applications"
"2-s2.0-70349784869",1,405,"Metal-Free organic dyes for dye-Sensitized solar cells: From structure: Property relationships to design rules"
"2-s2.0-67650555653",1,372,"Highly efficient solar cell polymers developed via fine-tuning of structural and electronic properties"
"2-s2.0-67649388867",1,340,"A roll-to-roll process to flexible polymer solar cells: Model studies, manufacture and operational stability studies"
"2-s2.0-66149116003",1,327,"Recent progress in polymer solar cells: Manipulation of polymer: Fullerene morphology and the formation of efficient inverted polymer solar cells"
"2-s2.0-67749101411",1,290,"Development of new semiconducting polymers for high performance solar cells"
"2-s2.0-70350679017",0,287,"Highly efficient light-harvesting ruthenium sensitizer for thin-film dye-sensitized solar cells"
"2-s2.0-60449088983",0,255,"A complete process for production of flexible large area polymer solar cells entirely using screen printing-First public demonstration"
"2-s2.0-60549103853",0,219,"Complex brain networks: Graph theoretical analysis of structural and functional systems"
"2-s2.0-70350656077",0,216,"Synthesis of a low band gap polymer and its application in highly efficient polymer solar cells"
"2-s2.0-67749111685",0,214,"Growth of oriented single-crystalline rutile TiO  nanorods on transparent conducting substrates for dye-sensitized solar cells"
"2-s2.0-64549140360",0,212,"High efficiency and stable dye-sensitized solar cells with an organic chromophore featuring a binary π-conjugated spacer"
"2-s2.0-70350489206",0,209,"ZnO nanostructures for dye-sensitized solar cells"
"2-s2.0-61749103132",0,202,"Optical absorption enhancement in amorphous silicon nanowire and nanocone arrays"
"2-s2.0-66749128390",0,201,"Current-matched triple-junction solar cell reaching 41.1% conversion efficiency under concentrated sunlight"
"2-s2.0-65249130669",0,199,"Dye-sensitized solar cells with a high absorptivity ruthenium sensitizer featuring a 2-(hexylthio)thiophene conjugated bipyridine"
"2-s2.0-61349196891",0,196,"Highly efficient quantum-dot-sensitized solar cell based on co-sensitization of CdS/CdSe"
"2-s2.0-70349970933",0,195,"Nanoscale phase separation and high photovoltaic efficiency in solution-processed, small-molecule bulk heterojunction solar cells"
"2-s2.0-60449105587",0,195,"Polymer solar cell modules prepared using roll-to-roll methods: Knife-over-edge coating, slot-die coating and screen printing"
"2-s2.0-72849106056",0,182,"Characteristics of the iodide/triiodide redox mediator in dye-sensitized solar cells"
