"2-s2.0-84866405451",1,1414,"Enhanced power-conversion efficiency in polymer solar cells using an inverted device structure"
"2-s2.0-84868195671",1,1223,"Efficient hybrid solar cells based on meso-superstructured organometal halide perovskites"
"2-s2.0-84863229720",1,977,"Polymer solar cells"
"2-s2.0-84866136229",1,905,"Lead iodide perovskite sensitized all-solid-state submicron thin film mesoscopic solar cell with efficiency exceeding 9%"
"2-s2.0-84862776807",1,746,"Tandem polymer solar cells featuring a spectrally matched low-bandgap polymer"
"2-s2.0-84860351735",1,726,"Molecular design of photovoltaic materials for polymer solar cells: Toward suitable electronic energy levels and broad absorption"
"2-s2.0-84855321124",1,654,"Solar cell efficiency tables (version 39)"
"2-s2.0-83655167150",1,564,"Solution-processed small-molecule solar cells with 6.7% efficiency"
"2-s2.0-84870234515",1,448,"High-efficiency inverted dithienogermole-thienopyrrolodione-based polymer solar cells"
"2-s2.0-84862909277",1,433,"Rational design of high performance conjugated polymers for organic solar cells"
"2-s2.0-84867834744",1,429,"Mesoscopic CH NH PbI /TiO  heterojunction solar cells"
"2-s2.0-84861417492",1,421,"All-solid-state dye-sensitized solar cells with high efficiency"
"2-s2.0-84856349298",1,415,"Stability of polymer solar cells"
"2-s2.0-84857820566",1,412,"The renaissance of dye-sensitized solar cells"
"2-s2.0-84857510123",1,396,"Small molecule organic semiconductors on the move: Promises for future solar energy technology"
"2-s2.0-84859953805",1,385,"Small molecule semiconductors for high-efficiency organic photovoltaics"
"2-s2.0-84861835897",1,327,"Dual plasmonic nanostructures for high performance inverted organic solar cells"
"2-s2.0-84863230603",0,325,"High-efficiency dye-sensitized solar cell with a novel co-adsorbent"
"2-s2.0-84857881036",0,314,"Roll-to-roll fabrication of polymer solar cells"
"2-s2.0-84856731168",0,306,"Mn-doped quantum dot sensitized solar cells: A strategy to boost efficiency over 5%"
"2-s2.0-84857546405",0,305,"Recent advances in solution-processed interfacial materials for efficient and stable polymer solar cells"
"2-s2.0-84863116239",0,289,"Economical Pt-free catalysts for counter electrodes of dye-sensitized solar cells"
"2-s2.0-84866058749",0,273,"Hybrid passivated colloidal quantum dot solids"
