"2-s2.0-84974593527",1,672,"Cesium-containing triple cation perovskite solar cells: Improved stability, reproducibility and high efficiency"
"2-s2.0-84996435236",1,517,"Efficient organic solar cells processed from hydrocarbon solvents"
"2-s2.0-84971316579",1,431,"Fullerene-Free Polymer Solar Cells with over 11% Efficiency and Excellent Thermal Stability"
"2-s2.0-85003838983",1,395,"Efficient luminescent solar cells based on tailored mixed-cation perovskites"
"2-s2.0-84959462771",1,393,"A mixed-cation lead mixed-halide perovskite absorber for tandem solar cells"
"2-s2.0-84954397484",1,354,"Improved air stability of perovskite solar cells via solution-processed metal oxide transport layers"
"2-s2.0-84975311553",1,336,"A vacuum flash-assisted solution process for high-efficiency large-area perovskite solar cells"
"2-s2.0-84990876377",1,326,"Incorporation of rubidium cations into perovskite solar cells improves photovoltaic performance"
"2-s2.0-84954484722",1,323,"Solar cell efficiency tables (version 47)"
"2-s2.0-84987668268",1,312,"Energy-Level Modulation of Small-Molecule Electron Acceptors to Achieve over 12% Efficiency in Polymer Solar Cells"
"2-s2.0-84958061391",1,234,"Organometal halide perovskite solar cells: Degradation and stability"
"2-s2.0-84964661164",1,224,"High-Performance Electron Acceptor with Thienyl Side Chains for Organic Photovoltaics"
"2-s2.0-84959508799",1,215,"All-Polymer Solar Cells Based on Absorption-Complementary Polymer Donor and Acceptor with High Power Conversion Efficiency of 8.27%"
"2-s2.0-84954350427",1,208,"High-Performance Solution-Processed Non-Fullerene Organic Solar Cells Based on Selenophene-Containing Perylene Bisimide Acceptor"
"2-s2.0-84964683524",0,207,"Non-Fullerene Polymer Solar Cells Based on Alkylthio and Fluorine Substituted 2D-Conjugated Polymers Reach 9.5% Efficiency"
"2-s2.0-84960433059",0,203,"A Facile Planar Fused-Ring Electron Acceptor for As-Cast Polymer Solar Cells with 8.71% Efficiency"
"2-s2.0-84975113430",0,186,"Solar cell efficiency tables (version 48)"
"2-s2.0-85013766015",0,176,"Polymer-templated nucleation and crystal growth of perovskite films for solar cells with efficiency greater than 21%"
"2-s2.0-84953455690",0,155,"Monolithic perovskite/silicon-heterojunction tandem solar cells processed at low temperature"
"2-s2.0-84958251231",0,152,"Oligomer Molecules for Efficient Organic Photovoltaics"
"2-s2.0-84978100651",0,149,"High-efficiency two-dimensional ruddlesden-popper perovskite solar cells"
"2-s2.0-84973636328",0,148,"High-efficiency and air-stable P3HT-based polymer solar cells with a new non-fullerene acceptor"
"2-s2.0-84996548586",0,146,"Side-Chain Isomerization on an n-type Organic Semiconductor ITIC Acceptor Makes 11.77% High Efficiency Polymer Solar Cells"
"2-s2.0-84956939968",0,141,"Organic-inorganic hybrid lead halide perovskites for optoelectronic and electronic applications"
"2-s2.0-85019548372",0,140,"Fast charge separation in a non-fullerene organic solar cell with a small driving force"
"2-s2.0-84999886603",0,139,"11.4% Efficiency non-fullerene polymer solar cells with trialkylsilyl substituted 2D-conjugated polymer as donor"
"2-s2.0-84958034125",0,135,"Entropic stabilization of mixed A-cation ABXmetal halide perovskites for high performance perovskite solar cells"
"2-s2.0-84976420299",0,132,"Molecular design of benzodithiophene-based organic photovoltaic materials"
"2-s2.0-84955149129",0,132,"Enhanced electronic properties in mesoporous TiOvia lithium doping for high-efficiency perovskite solar cells"
"2-s2.0-84964374608",0,131,"Zn-Cu-In-Se Quantum Dot Solar Cells with a Certified Power Conversion Efficiency of 11.6%"
"2-s2.0-84953396372",0,128,"Planar heterojunction organometal halide perovskite solar cells: Roles of interfacial layers"
"2-s2.0-84982297883",0,127,"Cover Picture: Effects of heavy alkali elements in Cu(In,Ga)Se solar cells with efficiencies up to 22.6% (Phys. Status Solidi RRL 8/2016)"
